rel_mid	mean_gc	se_gc	class	n_transcripts
-225.0	0.355559378862381	0.007482331616349401	NMD	1743
-215.0	0.36883533000946045	0.007428562979809172	NMD	1743
-205.0	0.38432589173316956	0.007381637935777355	NMD	1743
-195.0	0.396936297416687	0.007310580073144108	NMD	1743
-185.0	0.41355133056640625	0.007302242411675633	NMD	1743
-175.0	0.4298909604549408	0.007209014792858619	NMD	1743
-165.0	0.44612735509872437	0.007084315357361631	NMD	1743
-155.0	0.458554208278656	0.006865443177723634	NMD	1743
-145.0	0.4762822687625885	0.006719335654260932	NMD	1743
-135.0	0.4923350512981415	0.006537004275385753	NMD	1743
-125.0	0.5057372450828552	0.006299646472341283	NMD	1743
-115.0	0.5229833722114563	0.0060767389502134495	NMD	1743
-105.0	0.5385541915893555	0.005844920552391185	NMD	1743
-95.0	0.5529087781906128	0.00556388603823547	NMD	1743
-85.0	0.5639356970787048	0.005296427706839874	NMD	1743
-75.0	0.5749626755714417	0.005056797748277068	NMD	1743
-65.0	0.5802409648895264	0.004818549428735858	NMD	1743
-55.0	0.5896844267845154	0.004462068715142321	NMD	1743
-45.0	0.5954675078392029	0.0041239740441526155	NMD	1743
-35.0	0.6005622744560242	0.0038349388014233855	NMD	1743
-25.0	0.5931267738342285	0.0035526250844122344	NMD	1743
-15.0	0.5935627818107605	0.0032588795626419323	NMD	1743
-5.0	0.5901548862457275	0.0031823740233394506	NMD	1743
5.0	0.5887435078620911	0.003059337123250003	NMD	1743
15.0	0.5843832492828369	0.002928941951378276	NMD	1743
25.0	0.5908319354057312	0.0029229672816800086	NMD	1743
35.0	0.5879288911819458	0.0030197492926945318	NMD	1743
45.0	0.581170380115509	0.003027521592186719	NMD	1743
55.0	0.5739988684654236	0.0030277396705752995	NMD	1743
65.0	0.5667240023612976	0.0030830894646628466	NMD	1743
75.0	0.557165801525116	0.003105874194764002	NMD	1743
85.0	0.5496270656585693	0.003199528690426748	NMD	1743
95.0	0.5430980920791626	0.0031597984486158863	NMD	1743
105.0	0.5338267683982849	0.003118395677625175	NMD	1743
115.0	0.5286632180213928	0.003082085447466322	NMD	1743
125.0	0.5237521529197693	0.0030693648029998656	NMD	1743
135.0	0.5149627327919006	0.00295490273801099	NMD	1743
145.0	0.5111991167068481	0.0030055552806535096	NMD	1743
155.0	0.5093631744384766	0.0030229508690375203	NMD	1743
165.0	0.5060814619064331	0.002947282665086282	NMD	1743
175.0	0.5049225687980652	0.0029239282899635646	NMD	1743
185.0	0.5084108114242554	0.002912679406929696	NMD	1743
195.0	0.5050258040428162	0.0028490424556158744	NMD	1743
205.0	0.5040504932403564	0.0028612989250506636	NMD	1743
215.0	0.5024096369743347	0.0028960865326142895	NMD	1743
225.0	0.49882960319519043	0.0028515853352876273	NMD	1743
-225.0	0.3476688265800476	0.003304939872734492	Control	7863
-215.0	0.35697823762893677	0.0032867288201553746	Control	7863
-205.0	0.36778581142425537	0.0032687500059693955	Control	7863
-195.0	0.3775530457496643	0.0032387841953584497	Control	7863
-185.0	0.38798171281814575	0.003215230651466282	Control	7863
-175.0	0.3984585702419281	0.003186315795204601	Control	7863
-165.0	0.4088083505630493	0.003150827012792739	Control	7863
-155.0	0.418476402759552	0.003108340158279698	Control	7863
-145.0	0.42909830808639526	0.0030602715161642956	Control	7863
-135.0	0.44055449962615967	0.0029949426209114356	Control	7863
-125.0	0.45319342613220215	0.002917000593015931	Control	7863
-115.0	0.46641233563423157	0.0028362340622898477	Control	7863
-105.0	0.47840264439582825	0.00275149057511514	Control	7863
-95.0	0.49130865931510925	0.0026778827676507567	Control	7863
-85.0	0.5033625960350037	0.0025958227934283046	Control	7863
-75.0	0.5119699835777283	0.002508136331594392	Control	7863
-65.0	0.520076334476471	0.002416474089627884	Control	7863
-55.0	0.5279536843299866	0.002316146263566633	Control	7863
-45.0	0.5348391532897949	0.002187772878789071	Control	7863
-35.0	0.5403433442115784	0.0020574710079046717	Control	7863
-25.0	0.5371969938278198	0.001901563929928525	Control	7863
-15.0	0.5399618148803711	0.0016929573897214204	Control	7863
-5.0	0.5442147254943848	0.0016025262465017487	Control	7863
5.0	0.5458425283432007	0.0015228970453304818	Control	7863
15.0	0.5452549457550049	0.0014453482430789295	Control	7863
25.0	0.5536054968833923	0.0014463976850218713	Control	7863
35.0	0.5540276765823364	0.0014940690684097937	Control	7863
45.0	0.5487523674964905	0.0014737130875745181	Control	7863
55.0	0.5460663437843323	0.0014821408877862732	Control	7863
65.0	0.5432990193367004	0.0014755819176541746	Control	7863
75.0	0.5367773175239563	0.0014621740995114227	Control	7863
85.0	0.533318042755127	0.001470725244861067	Control	7863
95.0	0.532148003578186	0.0014670379982458508	Control	7863
105.0	0.5260612964630127	0.0014338831948805088	Control	7863
115.0	0.5239222049713135	0.0014500684632126827	Control	7863
125.0	0.5238839983940125	0.0014321440956543276	Control	7863
135.0	0.5189622640609741	0.001408196317847325	Control	7863
145.0	0.5170494914054871	0.0014258066090259594	Control	7863
155.0	0.5179702639579773	0.001424181444409436	Control	7863
165.0	0.5133638381958008	0.0014072507278052222	Control	7863
175.0	0.5121353268623352	0.0014342695306734348	Control	7863
185.0	0.5128220319747925	0.0014334417402793707	Control	7863
195.0	0.5095638036727905	0.0014188132421888962	Control	7863
205.0	0.5077171325683594	0.0014304285227487244	Control	7863
215.0	0.5096248388290405	0.0014292693473247993	Control	7863
225.0	0.5064733624458313	0.001403567934386401	Control	7863
