rel_mid	mean_gc	se_gc	class
-225.0	0.508423388004303	0.006352188654086768	NMD
-215.0	0.5124324560165405	0.006401220827866002	NMD
-205.0	0.5161261558532715	0.006231431677633776	NMD
-195.0	0.5112612843513489	0.006024466896862853	NMD
-185.0	0.5111261606216431	0.00605576870847301	NMD
-175.0	0.5137837529182434	0.006109394709336255	NMD
-165.0	0.5072072148323059	0.006023643034708778	NMD
-155.0	0.5049999952316284	0.005784957085883606	NMD
-145.0	0.5096396207809448	0.005690466815000414	NMD
-135.0	0.5075225234031677	0.00554258850858861	NMD
-125.0	0.5076576471328735	0.005623402314125245	NMD
-115.0	0.51319819688797	0.005632188644883449	NMD
-105.0	0.5117117166519165	0.005617777775376372	NMD
-95.0	0.5107207298278809	0.005582755854872212	NMD
-85.0	0.5113513469696045	0.005415713383272114	NMD
-75.0	0.5071171522140503	0.005092237168058491	NMD
-65.0	0.5026576519012451	0.005067349459227272	NMD
-55.0	0.5006306171417236	0.005046162765489059	NMD
-45.0	0.4973423480987549	0.0048821763628150005	NMD
-35.0	0.4926126301288605	0.0049793468376157415	NMD
-25.0	0.48207205533981323	0.004960937231155687	NMD
-15.0	0.4726576507091522	0.0049637839754485885	NMD
-5.0	0.4722522795200348	0.0049838162014043735	NMD
5.0	0.4700000286102295	0.0051589855604505085	NMD
15.0	0.4697748124599457	0.005177426636323316	NMD
25.0	0.47824326157569885	0.0053049170063385635	NMD
35.0	0.481621652841568	0.00531552149125825	NMD
45.0	0.47594594955444336	0.005246105624149347	NMD
55.0	0.4746846854686737	0.005172269542109931	NMD
65.0	0.47126126289367676	0.005255279134761075	NMD
75.0	0.4694594740867615	0.005372398388535473	NMD
85.0	0.4693243205547333	0.005582768584072876	NMD
95.0	0.4704053997993469	0.005720333762824633	NMD
105.0	0.47076576948165894	0.0059633837059440515	NMD
115.0	0.46900904178619385	0.005892799227496428	NMD
125.0	0.47081080079078674	0.005943261668405805	NMD
135.0	0.47076573967933655	0.0057563177987456325	NMD
145.0	0.47265762090682983	0.005760336690266327	NMD
155.0	0.47117117047309875	0.005751579707387431	NMD
165.0	0.4725675880908966	0.005961909240200492	NMD
175.0	0.46860361099243164	0.005982150790789415	NMD
185.0	0.4650900959968567	0.00614699676809719	NMD
195.0	0.4607658088207245	0.006242656003908009	NMD
205.0	0.458648681640625	0.006329104955860739	NMD
215.0	0.4560360610485077	0.00650063517787265	NMD
225.0	0.4559909701347351	0.00662654748059449	NMD
-225.0	0.5107712149620056	0.0031512423585078457	Control
-215.0	0.5092930793762207	0.0032176078909916844	Control
-205.0	0.5106426477432251	0.0032059396576646455	Control
-195.0	0.5074164867401123	0.003144901288686955	Control
-185.0	0.5062853693962097	0.003156130943313764	Control
-175.0	0.509640097618103	0.0031328339525203016	Control
-165.0	0.5064653158187866	0.0031240121365112908	Control
-155.0	0.5074549913406372	0.0030958939909704725	Control
-145.0	0.5102956295013428	0.0029877796193709793	Control
-135.0	0.5062724947929382	0.002909230589695233	Control
-125.0	0.5065552592277527	0.0028790292897681816	Control
-115.0	0.5108869075775146	0.0028806672546641296	Control
-105.0	0.5089460611343384	0.0028370575725878114	Control
-95.0	0.5074036121368408	0.002895621050648573	Control
-85.0	0.5114138722419739	0.002897003083529529	Control
-75.0	0.5075321197509766	0.002873643573550117	Control
-65.0	0.5055655837059021	0.0028913884450958408	Control
-55.0	0.5043187737464905	0.0029292788493758834	Control
-45.0	0.5015424489974976	0.0029209564313356093	Control
-35.0	0.49992287158966064	0.003004963707040311	Control
-25.0	0.48924165964126587	0.0029805300381167965	Control
-15.0	0.4811696708202362	0.0030940221929862885	Control
-5.0	0.4772365093231201	0.0032714869632193737	Control
5.0	0.4734061658382416	0.003470100784117148	Control
15.0	0.4638431668281555	0.0036483382612678217	Control
25.0	0.4664909839630127	0.003871074288437656	Control
35.0	0.46242934465408325	0.003870368633819199	Control
45.0	0.45444729924201965	0.0038094020391335357	Control
55.0	0.4463110566139221	0.003801804919202168	Control
65.0	0.4413624703884125	0.003805772904272979	Control
75.0	0.4359639883041382	0.0038469180838167417	Control
85.0	0.4319922924041748	0.0038708279892881734	Control
95.0	0.4282519221305847	0.003952502222742559	Control
105.0	0.42593830823898315	0.004021448607663924	Control
115.0	0.42129823565483093	0.004116572210165918	Control
125.0	0.41844475269317627	0.004185923175438659	Control
135.0	0.4159126281738281	0.004274991672009576	Control
145.0	0.41249358654022217	0.004384838826122379	Control
155.0	0.4100257456302643	0.0044017647152201295	Control
165.0	0.4106298089027405	0.004482922173771918	Control
175.0	0.40939590334892273	0.00452788159029778	Control
185.0	0.4066195487976074	0.00457002858785447	Control
195.0	0.40487146377563477	0.004605430690757758	Control
205.0	0.4020437002182007	0.004619758728243553	Control
215.0	0.3988302946090698	0.004650393129359074	Control
225.0	0.394691526889801	0.004698772024260886	Control
