name	variant	conv_channels	n_bins	permute_bins	blank_sequence	blank_junctions	seed
interp_c16_b8	interpretable	16	8	0	0	0	100
interp_c16_b8	interpretable	16	8	0	0	0	200
interp_c16_b8	interpretable	16	8	0	0	0	300
interp_c16_b8	interpretable	16	8	0	0	0	400
interp_c16_b8	interpretable	16	8	0	0	0	500
interp_c32_b8	interpretable	32	8	0	0	0	100
interp_c32_b8	interpretable	32	8	0	0	0	200
interp_c32_b8	interpretable	32	8	0	0	0	300
interp_c32_b8	interpretable	32	8	0	0	0	400
interp_c32_b8	interpretable	32	8	0	0	0	500
interp_c64_b8	interpretable	64	8	0	0	0	100
interp_c64_b8	interpretable	64	8	0	0	0	200
interp_c64_b8	interpretable	64	8	0	0	0	300
interp_c64_b8	interpretable	64	8	0	0	0	400
interp_c64_b8	interpretable	64	8	0	0	0	500
interp_c128_b8	interpretable	128	8	0	0	0	100
interp_c128_b8	interpretable	128	8	0	0	0	200
interp_c128_b8	interpretable	128	8	0	0	0	300
interp_c128_b8	interpretable	128	8	0	0	0	400
interp_c128_b8	interpretable	128	8	0	0	0	500
interp_c32_b1	interpretable	32	1	0	0	0	100
interp_c32_b1	interpretable	32	1	0	0	0	200
interp_c32_b1	interpretable	32	1	0	0	0	300
interp_c32_b1	interpretable	32	1	0	0	0	400
interp_c32_b1	interpretable	32	1	0	0	0	500
interp_c32_b16	interpretable	32	16	0	0	0	100
interp_c32_b16	interpretable	32	16	0	0	0	200
interp_c32_b16	interpretable	32	16	0	0	0	300
interp_c32_b16	interpretable	32	16	0	0	0	400
interp_c32_b16	interpretable	32	16	0	0	0	500
interp_c32_b32	interpretable	32	32	0	0	0	100
interp_c32_b32	interpretable	32	32	0	0	0	200
interp_c32_b32	interpretable	32	32	0	0	0	300
interp_c32_b32	interpretable	32	32	0	0	0	400
interp_c32_b32	interpretable	32	32	0	0	0	500
interp_c32_b8_perm	interpretable	32	8	1	0	0	100
interp_c32_b8_perm	interpretable	32	8	1	0	0	200
interp_c32_b8_perm	interpretable	32	8	1	0	0	300
interp_c32_b8_perm	interpretable	32	8	1	0	0	400
interp_c32_b8_perm	interpretable	32	8	1	0	0	500
