isoform_id	gencode_biotype
ENST00000831248.1	lncRNA
ENST00000831219.1	lncRNA
ENST00000831153.1	lncRNA
ENST00000880609.1	protein_coding
ENST00000379325.7	nonsense_mediated_decay
ENST00000464036.5	nonsense_mediated_decay
ENST00000488340.5	nonsense_mediated_decay
ENST00000511910.1	retained_intron
ENST00000404249.8	protein_coding
ENST00000341991.7	protein_coding
ENST00000886134.1	protein_coding
ENST00000899368.1	protein_coding
ENST00000648600.1	lncRNA
ENST00000679703.1	nonsense_mediated_decay
ENST00000378191.5	protein_coding
ENST00000489498.5	nonsense_mediated_decay
ENST00000414040.6	nonsense_mediated_decay
ENST00000307896.10	protein_coding
ENST00000487559.1	nonsense_mediated_decay
ENST00000328089.11	protein_coding
ENST00000361311.4	protein_coding
ENST00000377153.5	protein_coding
ENST00000376770.5	protein_coding
ENST00000400797.3	protein_coding
ENST00000376014.7	protein_coding
ENST00000400777.7	nonsense_mediated_decay
ENST00000616884.4	protein_coding
ENST00000930332.1	protein_coding
ENST00000375486.9	protein_coding
ENST00000497827.1	nonsense_mediated_decay
ENST00000852048.1	protein_coding
ENST00000877897.1	protein_coding
ENST00000374630.8	protein_coding
ENST00000443624.6	retained_intron
ENST00000467075.2	nonsense_mediated_decay
ENST00000630217.2	protein_coding
ENST00000567741.1	protein_coding_CDS_not_defined
ENST00000361547.7	protein_coding
ENST00000374315.1	protein_coding
ENST00000434391.6	nonsense_mediated_decay
ENST00000526792.5	protein_coding
ENST00000464720.5	nonsense_mediated_decay
ENST00000486082.5	nonsense_mediated_decay
ENST00000478104.5	nonsense_mediated_decay
ENST00000361157.11	protein_coding
ENST00000548116.5	nonsense_mediated_decay
ENST00000373836.4	protein_coding
ENST00000691479.1	nonsense_mediated_decay
ENST00000373791.7	protein_coding
ENST00000373714.5	protein_coding
ENST00000468720.5	retained_intron
ENST00000441402.5	nonsense_mediated_decay
ENST00000373609.1	protein_coding
ENST00000491434.5	nonsense_mediated_decay
ENST00000489170.5	nonsense_mediated_decay
ENST00000677640.1	nonsense_mediated_decay
ENST00000446293.6	protein_coding
ENST00000356990.9	protein_coding
ENST00000373443.7	protein_coding
ENST00000539719.6	protein_coding
ENST00000487874.1	nonsense_mediated_decay
ENST00000373243.7	protein_coding
ENST00000855881.1	protein_coding
ENST00000373001.4	protein_coding
ENST00000675937.1	nonsense_mediated_decay
ENST00000905588.1	protein_coding
ENST00000372652.5	protein_coding
ENST00000372651.5	protein_coding
ENST00000648914.1	nonsense_mediated_decay
ENST00000431473.4	protein_coding
ENST00000678038.1	nonsense_mediated_decay
ENST00000372550.6	protein_coding
ENST00000677307.1	nonsense_mediated_decay
ENST00000886192.1	protein_coding
ENST00000432792.6	protein_coding
ENST00000497050.5	protein_coding_CDS_not_defined
ENST00000642504.1	nonsense_mediated_decay
ENST00000645165.1	nonsense_mediated_decay
ENST00000495421.1	nonsense_mediated_decay
