isoform_id	K	atg_sum	stop_sum	tx_length	covered	n_windows	last_covered	enc_cached	enc_naive	is_nmd	gene_id
ENSG00000000419.15.novel1	26	22804	14266	4002	2438	52	2438	179622	570492	1	ENSG00000000419.15
ENSG00000000419.15.novel2	18	14880	10289	2413	1829	36	1829	120147	296298	0	ENSG00000000419.15
ENSG00000000419.15.novel3	10	7329	5558	2058	1650	20	1650	60648	148500	1	ENSG00000000419.15
ENSG00000000457.15.novel2	32	25349	18159	4915	2693	64	2693	206571	775584	1	ENSG00000000457.15
ENSG00000000457.15.novel3	32	25433	17961	5085	2928	64	2928	206481	843264	1	ENSG00000000457.15
ENSG00000000457.15.novel48	16	11068	9007	3866	1962	32	1962	93429	282528	0	ENSG00000000457.15
ENSG00000000457.15.novel5	32	25349	17961	5028	2782	64	2782	205977	801216	1	ENSG00000000457.15
ENSG00000000457.15.novel6	32	25241	18382	4990	2833	64	2833	206592	815904	1	ENSG00000000457.15
ENSG00000000457.15.novel8	32	25265	18235	4895	2738	64	2738	206295	788544	1	ENSG00000000457.15
ENSG00000000460.18.novel1	30	25199	21821	4114	3519	60	3519	216657	950130	0	ENSG00000000460.18
ENSG00000000460.18.novel2	30	25864	20878	4196	3601	60	3601	217818	972270	1	ENSG00000000460.18
ENSG00000000460.18.novel23	20	13569	10550	4333	3559	40	3738	113064	640620	0	ENSG00000000460.18
ENSG00000000460.18.novel3	4	1529	2093	1206	1206	8	1206	15453	43416	0	ENSG00000000460.18
ENSG00000000460.18.novel5	30	25538	20834	4119	3528	60	3528	215730	952560	1	ENSG00000000460.18
ENSG00000000971.18.novel17	40	32710	21918	5104	3600	80	3600	262014	1296000	0	ENSG00000000971.18
ENSG00000001036.15.novel1	25	19583	14093	3240	2204	50	2204	159777	495900	1	ENSG00000001036.15
ENSG00000001084.14.novel1	27	23337	17509	3826	2909	54	2909	192549	706887	1	ENSG00000001084.14
ENSG00000001084.14.novel7	23	18304	13362	2717	1878	46	1878	149910	388746	0	ENSG00000001084.14
ENSG00000001167.16.novel26	42	38033	24229	6373	3635	84	3635	300885	1374030	0	ENSG00000001167.16
ENSG00000001167.16.novel28	43	36618	24361	6024	3595	86	3595	292791	1391265	0	ENSG00000001167.16
ENSG00000001167.16.novel29	54	41730	28548	6636	3873	108	3873	336024	1882278	0	ENSG00000001167.16
ENSG00000001460.19.novel1	20	17230	11217	4853	2963	40	2963	137031	533340	0	ENSG00000001460.19
ENSG00000001460.19.novel10	20	13685	11287	3723	2381	40	2381	115971	428580	0	ENSG00000001460.19
ENSG00000001460.19.novel11	9	3674	5216	1703	1294	18	1294	37692	104814	0	ENSG00000001460.19
ENSG00000001460.19.novel4	11	5974	6340	2367	1683	22	1683	54864	166617	0	ENSG00000001460.19
ENSG00000001460.19.novel5	17	13274	9674	3817	2487	34	2487	108666	380511	0	ENSG00000001460.19
ENSG00000001460.19.novel9	16	11604	9330	3595	2265	32	2265	97614	326160	0	ENSG00000001460.19
ENSG00000001461.20.novel6	41	33969	23173	6112	3571	82	3571	273333	1317699	0	ENSG00000001461.20
ENSG00000001497.19.novel1	30	25520	18408	3956	2648	60	2648	208344	714960	1	ENSG00000001497.19
ENSG00000001497.19.novel47	25	19783	13198	4440	2727	50	2727	158292	613575	0	ENSG00000001497.19
ENSG00000001626.19.novel1	34	28964	26356	4599	3807	68	4357	252852	1164942	0	ENSG00000001626.19
ENSG00000001626.19.novel11	41	30317	24914	5402	3067	82	3067	256644	1131723	0	ENSG00000001626.19
ENSG00000001626.19.novel27	19	14835	14227	2699	2290	38	2290	131691	391590	0	ENSG00000001626.19
ENSG00000001626.19.novel34	5	1821	2641	1890	1109	10	1109	18849	49905	0	ENSG00000001626.19
ENSG00000001626.19.novel6	15	9714	7954	2298	1718	30	1718	82146	231930	0	ENSG00000001626.19
ENSG00000001626.19.novel9	13	9285	7213	2092	1836	26	1836	77349	214812	0	ENSG00000001626.19
ENSG00000001629.11.novel1	19	14686	10953	2189	1950	38	1950	120975	333450	0	ENSG00000001629.11
ENSG00000001629.11.novel2	33	26797	17709	7101	4773	66	4773	213909	1417581	0	ENSG00000001629.11
ENSG00000001631.18.novel12	24	20124	14348	3900	2915	48	2915	163788	629640	0	ENSG00000001631.18
ENSG00000001631.18.novel18	15	11435	8298	2992	2025	30	2025	93504	273375	0	ENSG00000001631.18
ENSG00000001631.18.novel31	7	4123	3864	2276	1509	14	1509	36330	95067	0	ENSG00000001631.18
ENSG00000001631.18.novel35	25	18342	15759	3792	2807	50	2807	157329	631575	0	ENSG00000001631.18
ENSG00000001631.18.novel36	17	11803	9872	2564	1992	34	1992	100434	304776	0	ENSG00000001631.18
ENSG00000001631.18.novel5	25	20310	17366	3684	2854	50	2854	173958	642150	0	ENSG00000001631.18
ENSG00000002549.14.novel2	12	8769	7533	2282	1663	24	1663	75213	179604	1	ENSG00000002549.14
ENSG00000002834.20.novel25	16	12253	9513	2848	1890	32	1890	102057	272160	0	ENSG00000002834.20
ENSG00000002834.20.novel3	25	17001	15826	4114	2644	50	2644	149484	594900	0	ENSG00000002834.20
ENSG00000003147.20.novel19	11	5262	7473	1706	1463	22	1463	53991	144837	0	ENSG00000003147.20
ENSG00000003147.20.novel2	19	12383	13761	2444	2198	38	2198	115581	375858	0	ENSG00000003147.20
ENSG00000003147.20.novel4	21	15396	13398	3160	1974	42	1974	132570	373086	0	ENSG00000003147.20
ENSG00000003147.20.novel7	19	11840	11402	2821	1659	38	1659	105246	283689	0	ENSG00000003147.20
ENSG00000003147.20.novel9	19	12599	13434	2557	2112	38	2112	115896	361152	1	ENSG00000003147.20
ENSG00000003393.17.novel7	12	5284	6262	1794	1328	24	1328	50490	143424	0	ENSG00000003393.17
ENSG00000003402.22.novel12	19	17493	10830	4597	2902	38	2902	137448	496242	0	ENSG00000003402.22
ENSG00000003402.22.novel27	27	25235	15755	7267	4312	54	4312	198675	1047816	0	ENSG00000003402.22
ENSG00000003402.22.novel42	25	22779	14270	5016	3209	50	3209	179484	722025	1	ENSG00000003402.22
ENSG00000003402.22.novel46	14	12086	7680	4227	3807	28	4040	95556	479682	0	ENSG00000003402.22
ENSG00000003402.22.novel48	16	14752	9543	3095	2058	32	2058	117141	296352	0	ENSG00000003402.22
ENSG00000003402.22.novel49	4	2960	2564	1636	1449	8	1449	25452	52164	0	ENSG00000003402.22
ENSG00000003436.17.novel1	32	28163	18204	4728	2891	64	2891	223590	832608	0	ENSG00000003436.17
ENSG00000003436.17.novel2	32	26489	18214	4498	2696	64	2696	213576	776448	0	ENSG00000003436.17
ENSG00000003436.17.novel3	28	23455	15846	4487	2448	56	2448	188268	616896	0	ENSG00000003436.17
ENSG00000003436.17.novel4	31	27774	17690	4819	2979	62	2979	219714	831141	0	ENSG00000003436.17
ENSG00000003509.17.novel1	35	28849	19006	5113	3053	70	3053	230112	961695	1	ENSG00000003509.17
ENSG00000003509.17.novel2	36	29720	19241	5069	3035	72	3035	236043	983340	1	ENSG00000003509.17
ENSG00000003509.17.novel4	35	26271	18662	4701	2724	70	2724	213612	858060	1	ENSG00000003509.17
ENSG00000003509.17.novel6	19	12405	10895	2167	1843	38	1843	107115	315153	1	ENSG00000003509.17
ENSG00000003509.17.novel9	17	10395	9158	2530	1808	34	1808	89844	276624	1	ENSG00000003509.17
ENSG00000003756.18.novel1	9	5992	4704	2307	1718	18	1718	50064	139158	0	ENSG00000003756.18
ENSG00000003756.18.novel13	11	4768	6270	1376	1366	22	1366	47418	135234	0	ENSG00000003756.18
ENSG00000003756.18.novel2	15	8852	7992	2033	1575	30	1575	77088	212625	0	ENSG00000003756.18
ENSG00000003756.18.novel20	10	5939	5328	2137	2126	20	2126	51618	191340	0	ENSG00000003756.18
ENSG00000003756.18.novel21	28	19149	16903	3087	3076	56	3076	165603	775152	1	ENSG00000003756.18
ENSG00000003756.18.novel22	30	20577	18536	3080	3068	60	3068	179070	828360	1	ENSG00000003756.18
ENSG00000003756.18.novel23	31	21442	20912	3218	2905	62	2905	191388	810495	1	ENSG00000003756.18
ENSG00000003756.18.novel5	11	5352	6920	1381	1370	22	1370	52872	135630	1	ENSG00000003756.18
ENSG00000004139.15.novel2	29	26232	16735	6724	3798	58	3798	207597	991278	0	ENSG00000004139.15
ENSG00000004139.15.novel3	26	23762	14979	6673	3748	52	3748	187509	877032	0	ENSG00000004139.15
ENSG00000004399.14.novel1	6	3145	4256	2614	2013	12	2013	31638	108702	0	ENSG00000004399.14
ENSG00000004399.14.novel11	16	11709	11405	3875	3274	32	3274	104469	471456	0	ENSG00000004399.14
ENSG00000004399.14.novel17	10	6702	6990	2210	1609	20	1609	61182	144810	0	ENSG00000004399.14
ENSG00000004399.14.novel18	18	13119	12963	4108	2820	36	2820	117603	456840	0	ENSG00000004399.14
ENSG00000004399.14.novel25	16	12807	11974	3745	3144	32	3144	112764	452736	0	ENSG00000004399.14
ENSG00000004399.14.novel3	18	14588	9821	3956	3264	36	3355	116991	528768	0	ENSG00000004399.14
ENSG00000004399.14.novel36	12	10318	11108	3542	2941	24	2941	95232	317628	0	ENSG00000004399.14
ENSG00000004399.14.novel6	11	6499	6628	2817	2216	22	2216	58878	219384	0	ENSG00000004399.14
ENSG00000004399.14.novel8	8	4956	4719	1776	1612	16	1612	43893	116064	0	ENSG00000004399.14
ENSG00000004399.14.novel9	19	14228	12067	4288	3014	38	3014	121569	515394	0	ENSG00000004399.14
ENSG00000004455.19.novel1	29	21753	16366	5287	3014	58	3014	179616	786654	1	ENSG00000004455.19
ENSG00000004455.19.novel2	28	19456	15144	4843	2866	56	2866	162168	722232	1	ENSG00000004455.19
ENSG00000004478.9.novel1	22	17965	13324	3782	2400	44	2400	147762	475200	1	ENSG00000004478.9
ENSG00000004478.9.novel4	24	20677	15547	4758	3091	48	3091	170703	667656	0	ENSG00000004478.9
ENSG00000004478.9.novel8	15	12129	8679	2980	2066	30	2066	98811	278910	0	ENSG00000004478.9
ENSG00000004487.19.novel14	19	12072	9829	2537	1844	38	1844	101919	315324	0	ENSG00000004487.19
ENSG00000004487.19.novel5	11	6378	5728	2099	1512	22	1512	55452	149688	0	ENSG00000004487.19
ENSG00000004534.16.novel1	19	14140	10583	2486	2486	38	2486	116589	425106	1	ENSG00000004534.16
