"isoform_id"	"n_orfs"	"n_nmd_competent"	"max_orf_length"	"max_downstream_ejc"	"n_strong_kozak"	"n_strong_kozak_nmd_comp"	"best_kozak_nmd_comp"	"longest_nmd_comp_orf"	"tx_length"	"n_junctions"	"is_nmd"	"chr"
"ENSG00000000419.15.novel1"	36	12	555	7	6	5	2	555	4002	7	1	"chr20"
"ENSG00000000419.15.novel2"	27	9	879	7	5	3	2	273	2413	7	0	"chr20"
"ENSG00000000419.15.novel3"	25	12	567	8	5	5	2	567	2058	8	1	"chr20"
"ENSG00000000457.15.novel2"	42	21	1005	9	6	4	2	900	4915	11	1	"chr1"
"ENSG00000000457.15.novel3"	41	21	1005	10	6	4	2	768	5085	12	1	"chr1"
"ENSG00000000457.15.novel48"	28	7	1005	3	2	0	1	78	3866	3	0	"chr1"
"ENSG00000000457.15.novel5"	42	21	1005	9	6	4	2	768	5028	11	1	"chr1"
"ENSG00000000457.15.novel6"	41	19	1641	11	6	3	2	174	4990	12	1	"chr1"
"ENSG00000000457.15.novel8"	41	21	1005	10	6	4	2	951	4895	12	1	"chr1"
"ENSG00000000460.18.novel1"	51	21	2475	22	12	2	2	360	4114	22	0	"chr1"
"ENSG00000000460.18.novel2"	53	26	2157	23	12	3	2	543	4196	23	1	"chr1"
"ENSG00000000460.18.novel23"	44	28	558	7	8	4	2	174	4333	7	0	"chr1"
"ENSG00000000460.18.novel3"	17	5	660	5	2	0	1	360	1206	5	0	"chr1"
"ENSG00000000460.18.novel5"	53	34	1308	23	12	7	2	1308	4119	23	1	"chr1"
"ENSG00000000971.18.novel17"	68	33	696	3	13	6	2	279	5104	3	0	"chr1"
"ENSG00000001036.15.novel1"	46	16	831	6	6	1	2	417	3240	6	1	"chr6"
"ENSG00000001084.14.novel1"	50	25	1203	15	6	1	2	564	3826	15	1	"chr6"
"ENSG00000001084.14.novel7"	32	11	690	6	2	0	1	138	2717	6	0	"chr6"
"ENSG00000001167.16.novel26"	77	2	939	3	11	0	0	54	6373	8	0	"chr6"
"ENSG00000001167.16.novel28"	77	3	864	3	10	0	1	54	6024	7	0	"chr6"
"ENSG00000001167.16.novel29"	88	19	366	2	12	5	2	144	6636	2	0	"chr6"
"ENSG00000001460.19.novel1"	44	8	741	6	6	0	1	231	4853	6	0	"chr1"
"ENSG00000001460.19.novel10"	36	6	741	5	6	1	2	231	3723	7	0	"chr1"
"ENSG00000001460.19.novel11"	29	3	504	3	9	1	2	171	1703	5	0	"chr1"
"ENSG00000001460.19.novel4"	25	4	594	4	4	0	1	231	2367	6	0	"chr1"
"ENSG00000001460.19.novel5"	24	3	489	3	6	0	1	201	3817	3	0	"chr1"
"ENSG00000001460.19.novel9"	27	4	609	5	6	0	1	141	3595	5	0	"chr1"
"ENSG00000001461.20.novel6"	85	6	1221	10	16	2	2	156	6112	10	0	"chr1"
"ENSG00000001497.19.novel1"	55	25	1248	9	9	4	2	876	3956	11	1	"chrX"
"ENSG00000001497.19.novel47"	52	43	744	2	6	4	2	315	4440	2	0	"chrX"
"ENSG00000001626.19.novel1"	56	17	3747	18	8	1	2	150	4599	21	0	"chr7"
"ENSG00000001626.19.novel11"	69	1	1110	2	6	0	0	63	5402	6	0	"chr7"
"ENSG00000001626.19.novel27"	31	6	1566	9	4	0	1	105	2699	9	0	"chr7"
"ENSG00000001626.19.novel34"	11	10	132	12	0	0	1	105	1890	12	0	"chr7"
"ENSG00000001626.19.novel6"	29	1	384	2	3	0	0	63	2298	4	0	"chr7"
"ENSG00000001626.19.novel9"	28	0	384	0	3	0	0	0	2092	2	0	"chr7"
"ENSG00000001629.11.novel1"	29	11	816	3	3	2	2	138	2189	4	0	"chr7"
"ENSG00000001629.11.novel2"	67	26	1098	2	10	3	2	141	7101	2	0	"chr7"
"ENSG00000001631.18.novel12"	49	25	1389	10	9	3	2	174	3900	10	0	"chr7"
"ENSG00000001631.18.novel18"	31	12	360	4	6	2	2	174	2992	4	0	"chr7"
"ENSG00000001631.18.novel31"	18	7	282	4	5	0	1	126	2276	4	0	"chr7"
"ENSG00000001631.18.novel35"	51	25	1590	11	10	4	2	174	3792	11	0	"chr7"
"ENSG00000001631.18.novel36"	29	8	519	3	5	1	2	174	2564	3	0	"chr7"
"ENSG00000001631.18.novel5"	53	23	2211	16	11	3	2	174	3684	16	0	"chr7"
"ENSG00000002549.14.novel2"	34	18	891	13	6	2	2	891	2282	13	1	"chr4"
"ENSG00000002726.22.novel1"	38	19	1860	1	6	1	2	294	2636	2	0	"chr7"
"ENSG00000002834.20.novel25"	26	15	597	1	11	7	2	597	2848	1	0	"chr17"
"ENSG00000002834.20.novel3"	45	9	741	5	14	1	2	153	4114	5	0	"chr17"
"ENSG00000003147.20.novel2"	35	10	1452	13	7	2	2	150	2444	13	0	"chr7"
"ENSG00000003147.20.novel4"	47	7	1053	6	5	0	1	75	3160	7	0	"chr7"
"ENSG00000003147.20.novel7"	44	8	819	7	3	0	1	93	2821	8	0	"chr7"
"ENSG00000003147.20.novel9"	36	24	1350	13	5	3	2	1350	2557	14	1	"chr7"
"ENSG00000003393.17.novel7"	22	4	315	2	3	1	2	78	1794	2	0	"chr2"
"ENSG00000003402.22.novel12"	58	0	465	0	8	0	0	0	4597	3	0	"chr2"
"ENSG00000003402.22.novel27"	84	23	753	4	12	3	2	204	7267	4	0	"chr2"
"ENSG00000003402.22.novel46"	45	24	666	5	5	3	2	204	4227	5	0	"chr2"
"ENSG00000003402.22.novel48"	41	5	642	3	3	0	1	96	3095	4	0	"chr2"
"ENSG00000003402.22.novel49"	19	1	378	1	1	0	1	138	1636	4	0	"chr2"
"ENSG00000003436.17.novel1"	54	10	915	5	2	1	2	117	4728	8	0	"chr2"
"ENSG00000003436.17.novel2"	54	10	915	5	2	1	2	117	4498	8	0	"chr2"
"ENSG00000003436.17.novel3"	50	7	756	4	8	1	2	117	4487	7	0	"chr2"
"ENSG00000003436.17.novel4"	54	10	915	5	2	1	2	117	4819	9	0	"chr2"
"ENSG00000003509.17.novel1"	50	18	591	9	12	4	2	591	5113	9	1	"chr2"
"ENSG00000003509.17.novel2"	50	18	414	9	12	4	2	414	5069	9	1	"chr2"
"ENSG00000003509.17.novel4"	46	14	414	4	10	2	2	414	4701	8	1	"chr2"
"ENSG00000003509.17.novel6"	29	15	657	5	8	2	2	657	2167	8	1	"chr2"
"ENSG00000003509.17.novel9"	40	30	414	10	7	7	2	414	2530	10	1	"chr2"
"ENSG00000003756.18.novel1"	20	0	288	0	0	0	0	0	2307	1	0	"chr3"
"ENSG00000003756.18.novel2"	27	16	354	2	6	4	2	171	2033	2	0	"chr3"
"ENSG00000003756.18.novel20"	19	6	510	4	4	0	1	138	2137	4	0	"chr3"
"ENSG00000003756.18.novel21"	46	29	1932	19	13	7	2	453	3087	23	1	"chr3"
"ENSG00000003756.18.novel22"	48	32	1707	19	13	7	2	654	3080	23	1	"chr3"
"ENSG00000003756.18.novel23"	48	38	2223	19	13	11	2	2223	3218	23	1	"chr3"
"ENSG00000004139.15.novel2"	64	8	543	5	16	1	2	372	6724	5	0	"chr17"
"ENSG00000004139.15.novel3"	62	6	543	4	15	0	1	174	6673	4	0	"chr17"
"ENSG00000004399.14.novel1"	18	3	996	6	5	0	1	507	2614	6	0	"chr3"
"ENSG00000004399.14.novel11"	34	11	1563	12	9	1	2	207	3875	12	0	"chr3"
